country,year,type,value,source
Lebanon,2002,secondary,2.56,Dah and Hammami (2002)
Lebanon,2002,higher,-1.56,Dah and Hammami (2002)
Lesotho,1993,male,10.6,Psacharopoulos and Patrinos (2004)
Lesotho,1993,female,16.5,Psacharopoulos and Patrinos (2004)
Lithuania,2000,secondary,1.125,Hazans (2003)
Lithuania,2000,higher,16.75,Hazans (2003)
Madagascar,1993,overall,15.1,Cogneau (2003)
Madagascar,1993,globalAvgOverall,9,Cogneau (2003)
Malawi,2010,male,11.8,"Peet, Fink and Fawzi (2015)"
Malawi,2010,female,13.2,"Peet, Fink and Fawzi (2015)"
Malawi,2012,overall,8.8,Gondwe (2015)
Malawi,2012,primary,8.1,Gondwe (2015)
Malawi,2012,secondary,8.133333333333333,Gondwe (2015)
Malawi,2012,higher,35.075,Gondwe (2015)
Malawi,2012,globalAvgOverall,9,Gondwe (2015)
Malaysia,2004,overall,10,Ismail (2007)
Malaysia,2004,globalAvgOverall,9,Ismail (2007)
Malaysia,2007,male,12.1,Kenayathulla (2013)
Malaysia,2007,female,14.5,Kenayathulla (2013)
Maldives,2004,overall,8.1,World Bank (2011)
Maldives,2004,male,6.2980898614699745,World Bank (2011)
Maldives,2004,female,12.68,World Bank (2011)
Maldives,2004,globalAvgOverall,9,World Bank (2011)
Mali,2007,primary,11,Barouni and Broecke (2014)
Mali,2007,secondary,40,Barouni and Broecke (2014)
Mali,2007,higher,13,Barouni and Broecke (2014)
Malta,2001,overall,25.7,Arbak (2012)
Malta,2001,globalAvgOverall,9,Arbak (2012)
Mexico,2002,overall,13.2,Metzger and Patrinos (2005)
Mexico,2002,male,12.7,Metzger and Patrinos (2005)
Mexico,2002,female,14.7,Metzger and Patrinos (2005)
Mexico,2002,globalAvgOverall,9,Metzger and Patrinos (2005)
Moldova,2003,overall,8,"Flabbi, Paternostro and Tiongson (2008)"
Moldova,2003,globalAvgOverall,9,"Flabbi, Paternostro and Tiongson (2008)"
Mongolia,2002,overall,8.5,"Patrinos, Ridao and Sakellariou (2009)"
Mongolia,2002,globalAvgOverall,9,"Patrinos, Ridao and Sakellariou (2009)"
Morocco,2001,overall,2.8,Arbak (2012)
Morocco,2001,globalAvgOverall,9,Arbak (2012)
Namibia,2003,overall,28,Godana and Ashipala (2006)
Namibia,2003,globalAvgOverall,9,Godana and Ashipala (2006)
Nepal,2008,overall,7.9,World Bank (2011)
Nepal,2008,male,7.3943587625264735,World Bank (2011)
Nepal,2008,female,8.264,World Bank (2011)
Nepal,2008,globalAvgOverall,9,World Bank (2011)
Netherlands,1996,male,6.3,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Netherlands,1996,female,5.099,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Netherlands,2006,overall,8.1,Canton (2009)
Netherlands,2006,globalAvgOverall,9,Canton (2009)
New Zealand,1995,overall,3.3,"Trostel, Walker and Woolley (2002)"
New Zealand,1995,globalAvgOverall,9,"Trostel, Walker and Woolley (2002)"
Nicaragua,2001,overall,11.2,Laguna and Porta (2004)
Nicaragua,2001,primary,6.3,Laguna and Porta (2004)
Nicaragua,2001,secondary,9.3,Laguna and Porta (2004)
Nicaragua,2001,higher,18.6,Laguna and Porta (2004)
Nicaragua,2001,male,9.5,Laguna and Porta (2004)
Nicaragua,2001,female,12.2,Laguna and Porta (2004)
Nicaragua,2001,globalAvgOverall,9,Laguna and Porta (2004)
Nicaragua,2001,overall,11.2,Belli and Ayadi (1998)
Nicaragua,2001,primary,6.3,Belli and Ayadi (1998)
Nicaragua,2001,secondary,9.3,Belli and Ayadi (1998)
Nicaragua,2001,higher,18.6,Belli and Ayadi (1998)
Nicaragua,2001,male,9.5,Belli and Ayadi (1998)
Nicaragua,2001,female,12.2,Belli and Ayadi (1998)
Nicaragua,2001,globalAvgOverall,9,Belli and Ayadi (1998)
Niger,2011,overall,11.1,"Peet, Fink and Fawzi (2015)"
Niger,2011,primary,5.5,"Peet, Fink and Fawzi (2015)"
Niger,2011,secondary,11.4,"Peet, Fink and Fawzi (2015)"
Niger,2011,higher,14.7,"Peet, Fink and Fawzi (2015)"
Niger,2011,male,9.4,"Peet, Fink and Fawzi (2015)"
Niger,2011,female,14.9,"Peet, Fink and Fawzi (2015)"
Niger,2011,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Nigeria,2011,overall,5.7,"Peet, Fink and Fawzi (2015)"
Nigeria,2011,primary,4.8,"Peet, Fink and Fawzi (2015)"
Nigeria,2011,secondary,5,"Peet, Fink and Fawzi (2015)"
Nigeria,2011,higher,5.8,"Peet, Fink and Fawzi (2015)"
Nigeria,2011,male,5.1,"Peet, Fink and Fawzi (2015)"
Nigeria,2011,female,6.5,"Peet, Fink and Fawzi (2015)"
Nigeria,2011,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Northern Ireland,1995,overall,17.4,"Trostel, Walker and Woolley (2002)"
Northern Ireland,1995,globalAvgOverall,9,"Trostel, Walker and Woolley (2002)"
Norway,1995,overall,6,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Norway,1995,male,4.6,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Norway,1995,female,5,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Norway,1995,globalAvgOverall,9,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Pakistan,2001,primary,3,"Jamal, Toor and Khan (2003)"
Pakistan,2001,secondary,10.479999999999999,"Jamal, Toor and Khan (2003)"
Pakistan,2001,higher,11,"Jamal, Toor and Khan (2003)"
Pakistan,2009,overall,6.2,World Bank (2011)
Pakistan,2009,male,5.845471807825376,World Bank (2011)
Pakistan,2009,female,8.918,World Bank (2011)
Pakistan,2009,globalAvgOverall,9,World Bank (2011)
Palestine,2011,overall,5.1,Rizk (2016)
Palestine,2011,primary,4.1,Rizk (2016)
Palestine,2011,secondary,6.5,Rizk (2016)
Palestine,2011,higher,7,Rizk (2016)
Palestine,2011,male,4.4,Rizk (2016)
Palestine,2011,female,7.3,Rizk (2016)
Palestine,2011,globalAvgOverall,9,Rizk (2016)
Panama,2009,overall,10.9,"Freire, Nunez and Teijeiro (2015)"
Panama,2009,primary,3.6,"Freire, Nunez and Teijeiro (2015)"
Panama,2009,secondary,7.3,"Freire, Nunez and Teijeiro (2015)"
Panama,2009,higher,12.3,"Freire, Nunez and Teijeiro (2015)"
Panama,2009,male,10.7,"Freire, Nunez and Teijeiro (2015)"
Panama,2009,female,13.5,"Freire, Nunez and Teijeiro (2015)"
Panama,2009,globalAvgOverall,9,"Freire, Nunez and Teijeiro (2015)"
Papua New Guinea,1985,male,10.9,Gibson and Fatai (2006)
Papua New Guinea,1985,female,12.8,Gibson and Fatai (2006)
Papua New Guinea,1987,overall,11.1,Gibson and Fatai (2006)
Papua New Guinea,1987,globalAvgOverall,9,Gibson and Fatai (2006)
Paraguay,1990,overall,11.6,"Psacharopoulos (1994); Patrinos, Velez and Psacharopoulos (1994)"
Paraguay,1990,male,10.3,"Psacharopoulos (1994); Patrinos, Velez and Psacharopoulos (1994)"
Paraguay,1990,female,12.1,"Psacharopoulos (1994); Patrinos, Velez and Psacharopoulos (1994)"
Paraguay,1990,globalAvgOverall,9,"Psacharopoulos (1994); Patrinos, Velez and Psacharopoulos (1994)"
Peru,1991,primary,8.1,"Peet, Fink and Fawzi (2015)"
Peru,1991,secondary,7,"Peet, Fink and Fawzi (2015)"
Peru,1991,higher,7.2,"Peet, Fink and Fawzi (2015)"
Peru,1991,male,7.2,"Peet, Fink and Fawzi (2015)"
Peru,1991,female,6.3,"Peet, Fink and Fawzi (2015)"
Peru,2001,overall,10.7,Trivelli (2006)
Peru,2001,globalAvgOverall,9,Trivelli (2006)
Philippines,1988,male,12.4,Psacharopoulos (1994)
Philippines,1988,female,12.4,Psacharopoulos (1994)
Philippines,2000,overall,12.6,Kaboski (2003)
Philippines,2000,globalAvgOverall,9,Kaboski (2003)
Poland,1996,higher,10.1,Newell and Reilly (1999)
Poland,1996,male,7.8,Newell and Reilly (1999)
Poland,1996,female,6.7,Newell and Reilly (1999)
Poland,1996,higher,10.1,Rutkowski (2001)
Poland,1996,male,7.8,Rutkowski (2001)
Poland,1996,female,6.7,Rutkowski (2001)
Poland,2002,overall,10.6,"Flabbi, Paternostro and Tiongson (2007)"
Poland,2002,globalAvgOverall,9,"Flabbi, Paternostro and Tiongson (2007)"
Portugal,1994,secondary,5.05,García-Mainar and Montuenga-Gómez (2003)
Portugal,1994,higher,12.075,García-Mainar and Montuenga-Gómez (2003)
Portugal,1994,male,9.7,García-Mainar and Montuenga-Gómez (2003)
Portugal,1994,female,9.699,García-Mainar and Montuenga-Gómez (2003)
Portugal,1994,secondary,5.05,"Harmon, Oosterbeek and Walker (2003)"
Portugal,1994,higher,12.075,"Harmon, Oosterbeek and Walker (2003)"
Portugal,1994,male,9.7,"Harmon, Oosterbeek and Walker (2003)"
Portugal,1994,female,9.699,"Harmon, Oosterbeek and Walker (2003)"
Portugal,2001,overall,7.5,Arbak (2012)
Portugal,2001,globalAvgOverall,9,Arbak (2012)
Puerto Rico,1989,overall,15.1,Griffin and Cox Edwards (1993)
Puerto Rico,1989,globalAvgOverall,9,Griffin and Cox Edwards (1993)
Romania,2009,overall,11.3,Ion Zgreaban (2013)
Romania,2009,male,10.8,Ion Zgreaban (2013)
Romania,2009,female,13,Ion Zgreaban (2013)
Romania,2009,globalAvgOverall,9,Ion Zgreaban (2013)
Russia,1998,higher,9.86,Clark (2003)
Russia,2000,male,8.5,"Flabbi, Paternostro and Tiongson (2007); Gorodnichenko and Klara (2005)"
Russia,2000,female,10.3,"Flabbi, Paternostro and Tiongson (2007); Gorodnichenko and Klara (2005)"
Russia,2002,overall,9.2,Gorodnichenko and Klara (2005)
Russia,2002,globalAvgOverall,9,Gorodnichenko and Klara (2005)
Rwanda,2001,overall,17.5,Lassibillie and Tan (2005)
Rwanda,2001,globalAvgOverall,9,Lassibillie and Tan (2005)
Rwanda,2005,primary,15,Barouni and Broecke (2014)
Rwanda,2005,secondary,45,Barouni and Broecke (2014)
Rwanda,2005,higher,33,Barouni and Broecke (2014)
Serbia,2004,primary,7.5,"Peet, Fink and Fawzi (2015)"
Serbia,2004,secondary,5.6,"Peet, Fink and Fawzi (2015)"
Serbia,2004,higher,6.9,"Peet, Fink and Fawzi (2015)"
Serbia,2004,male,6.1,"Peet, Fink and Fawzi (2015)"
Serbia,2004,female,9.8,"Peet, Fink and Fawzi (2015)"
Serbia,2013,overall,10,Popov (2013)
Serbia,2013,globalAvgOverall,9,Popov (2013)
Singapore,1998,male,11.1,Sakellariou (2003)
Singapore,1998,female,15.2,Sakellariou (2003)
Singapore,2000,overall,13.2,Low et al (2004)
Singapore,2000,globalAvgOverall,9,Low et al (2004)
Slovakia,1997,higher,11.124999999999998,"Filer, Jurajda, Planovsky (1999)"
Slovakia,1997,male,8.1,"Filer, Jurajda, Planovsky (1999)"
Slovakia,2002,overall,6.1,"Flabbi, Paternostro and Tiongson (2007)"
Slovakia,2002,globalAvgOverall,9,"Flabbi, Paternostro and Tiongson (2007)"
Slovenia,2002,overall,8.2,"Flabbi, Paternostro and Tiongson (2007)"
Slovenia,2002,globalAvgOverall,9,"Flabbi, Paternostro and Tiongson (2007)"
South Africa,2008,overall,18.7,Salisbury (2016)
South Africa,2008,male,18.1,Salisbury (2016)
South Africa,2008,female,21.2,Salisbury (2016)
South Africa,2008,globalAvgOverall,9,Salisbury (2016)
South Africa,2010,primary,6,Barouni and Broecke (2014)
South Africa,2010,secondary,23,Barouni and Broecke (2014)
South Africa,2010,higher,28,Barouni and Broecke (2014)
Spain,1994,secondary,3.6,García-Mainar and Montuenga-Gómez (2003)
Spain,1994,higher,4.674999999999999,García-Mainar and Montuenga-Gómez (2003)
Spain,1994,male,7.2,García-Mainar and Montuenga-Gómez (2003)
Spain,1994,female,8.4,García-Mainar and Montuenga-Gómez (2003)
Spain,1994,secondary,3.6,"Harmon, Oosterbeek and Walker (2003)"
Spain,1994,higher,4.674999999999999,"Harmon, Oosterbeek and Walker (2003)"
Spain,1994,male,7.2,"Harmon, Oosterbeek and Walker (2003)"
Spain,1994,female,8.4,"Harmon, Oosterbeek and Walker (2003)"
Spain,2001,overall,7.5,Arbak (2012)
Spain,2001,globalAvgOverall,9,Arbak (2012)
Sri Lanka,2000,secondary,2.4,Himaz (2008)
Sri Lanka,2000,higher,3.9,Himaz (2008)
Sri Lanka,2008,overall,8.9,World Bank (2011)
Sri Lanka,2008,male,7.136331257215245,World Bank (2011)
Sri Lanka,2008,female,11.63,World Bank (2011)
Sri Lanka,2008,globalAvgOverall,9,World Bank (2011)
St. Lucia,2004,primary,3.5,Bellony and Reilly (2010)
St. Lucia,2004,secondary,7.3,Bellony and Reilly (2010)
St. Lucia,2004,higher,20.9,Bellony and Reilly (2010)
Sudan,2009,overall,4.9,Rizk (2016)
Sudan,2009,primary,3.1,Rizk (2016)
Sudan,2009,primary,10,Rizk (2016)
Sudan,2009,secondary,13.3,Rizk (2016)
Sudan,2009,secondary,20,Rizk (2016)
Sudan,2009,higher,13,Rizk (2016)
Sudan,2009,higher,15,Rizk (2016)
Sudan,2009,male,4.5,Rizk (2016)
Sudan,2009,female,6.6,Rizk (2016)
Sudan,2009,globalAvgOverall,9,Rizk (2016)
Sudan,2009,overall,4.9,Barouni and Broecke (2014)
Sudan,2009,primary,10,Barouni and Broecke (2014)
Sudan,2009,secondary,13.3,Barouni and Broecke (2014)
Sudan,2009,secondary,20,Barouni and Broecke (2014)
Sudan,2009,higher,13,Barouni and Broecke (2014)
Sudan,2009,higher,15,Barouni and Broecke (2014)
Sudan,2009,male,4.5,Barouni and Broecke (2014)
Sudan,2009,female,6.6,Barouni and Broecke (2014)
Sudan,2009,globalAvgOverall,9,Barouni and Broecke (2014)
Sudan,2009,primary,3.1,Barouni and Broecke (2014)
Suriname,1992,overall,9.851285714285712,Horowitz and Schenzler (1999)
Suriname,1992,male,11.38375,Horowitz and Schenzler (1999)
Suriname,1992,female,7.808,Horowitz and Schenzler (1999)
Suriname,1992,globalAvgOverall,9,Horowitz and Schenzler (1999)
Sweden,1991,male,5,Arai and Kjellstrom (1999); Banerjee and Duflo (2005)
Sweden,1991,female,4,Arai and Kjellstrom (1999); Banerjee and Duflo (2005)
Sweden,1995,overall,5.7,Psacharopoulos (1994)
Sweden,1995,globalAvgOverall,9,Psacharopoulos (1994)
Sweden,2001,secondary,5,Gustavsson (2006)
Sweden,2001,higher,4.8,Gustavsson (2006)
Switzerland,1995,male,9.1,Weber and Wolter (1999); Martins and Pereira (2004)
Switzerland,1995,female,9,Weber and Wolter (1999); Martins and Pereira (2004)
Switzerland,1998,overall,9,Martins and Pereira (2004)
Switzerland,1998,globalAvgOverall,9,Martins and Pereira (2004)
Taiwan,1994,male,5.82,"Bourguignon, Fournier and Gurgand (2001)"
Taiwan,1994,female,8.22,"Bourguignon, Fournier and Gurgand (2001)"
Taiwan,1995,primary,-6.35,Baraka (1999)
Taiwan,1995,secondary,3.483333333333333,Baraka (1999)
Taiwan,1995,higher,9.100000000000001,Baraka (1999)
Taiwan,1998,overall,19.01,Banerjee and Duflo (2005)
Taiwan,1998,globalAvgOverall,9,Banerjee and Duflo (2005)
Tajikistan,2004,overall,3.6,"Peet, Fink and Fawzi (2015)"
Tajikistan,2004,primary,3.9,"Peet, Fink and Fawzi (2015)"
Tajikistan,2004,secondary,3.5,"Peet, Fink and Fawzi (2015)"
Tajikistan,2004,higher,3.7,"Peet, Fink and Fawzi (2015)"
Tajikistan,2004,male,3.3,"Peet, Fink and Fawzi (2015)"
Tajikistan,2004,female,4.4,"Peet, Fink and Fawzi (2015)"
Tajikistan,2004,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Tanzania,2007,overall,11.1,"Peet, Fink and Fawzi (2015)"
Tanzania,2007,male,9.2,"Peet, Fink and Fawzi (2015)"
Tanzania,2007,female,14.6,"Peet, Fink and Fawzi (2015)"
Tanzania,2007,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Tanzania,2011,primary,8,Barouni and Broecke (2014)
Tanzania,2011,secondary,66,Barouni and Broecke (2014)
Tanzania,2011,higher,39,Barouni and Broecke (2014)
Thailand,2005,male,10.7,Warunsiri and McNown (2010)
Thailand,2005,female,12.9,Warunsiri and McNown (2010)
Thailand,2010,overall,12.63,Tangtipongkul (2015)
Thailand,2010,primary,1.8,Tangtipongkul (2015)
Thailand,2010,secondary,5,Tangtipongkul (2015)
Thailand,2010,higher,20.8,Tangtipongkul (2015)
Thailand,2010,globalAvgOverall,9,Tangtipongkul (2015)
Timor-Leste,2004,primary,14.9,"Peet, Fink and Fawzi (2015)"
Timor-Leste,2004,secondary,7.5,"Peet, Fink and Fawzi (2015)"
Timor-Leste,2004,higher,6.2,"Peet, Fink and Fawzi (2015)"
Timor-Leste,2004,male,4.7,"Peet, Fink and Fawzi (2015)"
Timor-Leste,2004,female,4.9,"Peet, Fink and Fawzi (2015)"
Timor-Leste,2007,overall,3.9,Santos (2014)
Timor-Leste,2007,globalAvgOverall,9,Santos (2014)
Togo,2011,primary,8,Barouni and Broecke (2014)
Togo,2011,secondary,13,Barouni and Broecke (2014)
Togo,2011,higher,41,Barouni and Broecke (2014)
Trinidad and Tobago,1997,secondary,6,World Bank (2011)
Trinidad and Tobago,1997,higher,21,World Bank (2011)
Tunisia,2011,overall,7,Rizk (2016)
Tunisia,2011,primary,4.7,Rizk (2016)
Tunisia,2011,secondary,1.2,Rizk (2016)
Tunisia,2011,higher,9.7,Rizk (2016)
Tunisia,2011,male,7,Rizk (2016)
Tunisia,2011,female,7.3,Rizk (2016)
Tunisia,2011,globalAvgOverall,9,Rizk (2016)
Turkey,2008,overall,11.8,Tansel and Daoud (2014)
Turkey,2008,primary,4.8,Tansel and Daoud (2014)
Turkey,2008,secondary,9.4,Tansel and Daoud (2014)
Turkey,2008,higher,19.9,Tansel and Daoud (2014)
Turkey,2008,male,10.9,Tansel and Daoud (2014)
Turkey,2008,female,14.1,Tansel and Daoud (2014)
Turkey,2008,globalAvgOverall,9,Tansel and Daoud (2014)
Uganda,2008,overall,11.9,"Peet, Fink and Fawzi (2015)"
Uganda,2008,primary,8.2,"Peet, Fink and Fawzi (2015)"
Uganda,2008,secondary,10.1,"Peet, Fink and Fawzi (2015)"
Uganda,2008,higher,11.9,"Peet, Fink and Fawzi (2015)"
Uganda,2008,male,12.1,"Peet, Fink and Fawzi (2015)"
Uganda,2008,female,12.2,"Peet, Fink and Fawzi (2015)"
Uganda,2008,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Ukraine,1996,higher,6.28,Natalie (2001)
Ukraine,2002,overall,4.5,Gorodnichenko and Klara (2005)
Ukraine,2002,globalAvgOverall,9,Gorodnichenko and Klara (2005)
United Arab Emirates,2006,overall,7,"Squalli, Vellinga and Wilson (2008)"
United Arab Emirates,2006,globalAvgOverall,9,"Squalli, Vellinga and Wilson (2008)"
United States of America,1998,male,10.1,Jaeger (2003)
United States of America,1998,female,11,Jaeger (2003)
United States of America,2000,overall,13.4,Polachek (2008)
United States of America,2000,globalAvgOverall,9,Polachek (2008)
Uruguay,1989,male,9,Psacharopoulos (1994)
Uruguay,1989,female,10.6,Psacharopoulos (1994)
Uruguay,1990,overall,9.1,Kaboski (2003)
Uruguay,1990,globalAvgOverall,9,Kaboski (2003)
Uzbekistan,1995,higher,12.3,Newell and Reilly (1999)
Venezuela,2002,primary,17,Patrinos and Sakellariou (2004)
Venezuela,2002,secondary,19,Patrinos and Sakellariou (2004)
Venezuela,2002,higher,13,Patrinos and Sakellariou (2004)
Venezuela,2002,male,9.9,Patrinos and Sakellariou (2004)
Venezuela,2002,female,12.7,Patrinos and Sakellariou (2004)
Venezuela,2008,overall,6.4,Gonzales and Oyelere (2009)
Venezuela,2008,globalAvgOverall,9,Gonzales and Oyelere (2009)
Vietnam,1997,male,3.7,Liu (2006)
Vietnam,1997,female,4.4,Liu (2006)
Vietnam,2014,overall,5.7,"Doan, Tuyen, and Quan (2016)"
Vietnam,2014,primary,7.16,"Doan, Tuyen, and Quan (2016)"
Vietnam,2014,secondary,5.033333333333333,"Doan, Tuyen, and Quan (2016)"
Vietnam,2014,higher,14.042499999999997,"Doan, Tuyen, and Quan (2016)"
Vietnam,2014,globalAvgOverall,9,"Doan, Tuyen, and Quan (2016)"
Yugoslavia,1996,secondary,10.5,Newell and Reilly (1999)
Yugoslavia,1996,higher,18,Newell and Reilly (1999)
Zambia,1995,overall,10.65,Banerjee and Duflo (2005)
Zambia,1995,globalAvgOverall,9,Banerjee and Duflo (2005)
Zimbabwe,1994,overall,5.57,Banerjee and Duflo (2005)
Zimbabwe,1994,globalAvgOverall,9,Banerjee and Duflo (2005)
