country,year,Region,inc,yrs.sch,overall,primary,secondary,higher,Prim..10,Sec..11,Higher..12,primary.soc,secondary.soc,higher.soc,male,female,private,public,source
China,1986,East Asia and Pacific,Middle,5.4,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zhao and Zhou (2002)
China,1993,East Asia and Pacific,Middle,NA,NA,NA,NA,NA,18,13.4,15.1,14.4,12.9,11.3,NA,NA,NA,NA,Hossain (1997)
China,1995,East Asia and Pacific,Middle,6.3,7.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,9.699,NA,NA,Yang (2005)
China,2002,East Asia and Pacific,Middle,11.6,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,8.8,NA,NA,Xiu and Gunderson (2013)
China,2002,East Asia and Pacific,Middle,NA,9.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ding, Yang, and Ha (2013)"
China,2004,East Asia and Pacific,Middle,NA,10.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ding, Yang, and Ha (2013)"
China,2006,East Asia and Pacific,Middle,NA,10.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ding, Yang, and Ha (2013)"
China,2008,East Asia and Pacific,Middle,NA,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ding, Yang, and Ha (2013)"
China,2009,East Asia and Pacific,Middle,NA,10.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ding, Yang, and Ha (2013)"
China,1991,East Asia and Pacific,Middle,5.7,4.3,NA,3.233333333,3.975,NA,NA,NA,NA,NA,NA,3.7,6.4,NA,NA,Zhang et al (2005)
China,1992,East Asia and Pacific,Middle,5.8,4.7,NA,3.266666667,5.025,NA,NA,NA,NA,NA,NA,4,6.4,NA,NA,Zhang et al (2005)
China,1988,East Asia and Pacific,Middle,5.5,4,NA,3.666666667,3.05,NA,NA,NA,NA,NA,NA,3.2,6.1,NA,NA,Zhang et al (2005)
China,1990,East Asia and Pacific,Middle,5.6,4.7,NA,3.833333333,4.15,NA,NA,NA,NA,NA,NA,4.1,6.7,NA,NA,Zhang et al (2005)
China,1993,East Asia and Pacific,Middle,5.9,5.2,NA,3.833333333,5.1,NA,NA,NA,NA,NA,NA,4.5,7,NA,NA,Zhang et al (2005)
China,1989,East Asia and Pacific,Middle,5.5,4.6,NA,3.866666667,3.6,NA,NA,NA,NA,NA,NA,4.2,6.8,NA,NA,Zhang et al (2005)
China,1994,East Asia and Pacific,Middle,6,7.3,NA,4.833333333,7.175,NA,NA,NA,NA,NA,NA,6.6,9.5,NA,NA,Zhang et al (2005)
China,1995,East Asia and Pacific,Middle,NA,NA,NA,5.1,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zhang et al (2005)
China,1996,East Asia and Pacific,Middle,6.4,6.8,NA,5.2,6.3,NA,NA,NA,NA,NA,NA,6.4,9.4,NA,NA,Zhang et al (2005)
China,1998,East Asia and Pacific,Middle,6.7,8.1,NA,5.4,8.025,NA,NA,NA,NA,NA,NA,7.1,11.9,NA,NA,Zhang et al (2005)
China,1997,East Asia and Pacific,Middle,6.5,6.7,NA,5.766666667,5.575,NA,NA,NA,NA,NA,NA,5.7,10.7,NA,NA,Zhang et al (2005)
China,2000,East Asia and Pacific,Middle,6.9,10.1,NA,6.833333333,9.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zhang et al (2005)
China,1999,East Asia and Pacific,Middle,6.8,9.9,NA,7,9.525,NA,NA,NA,NA,NA,NA,9.2,15,NA,NA,Zhang et al (2005)
China,2001,East Asia and Pacific,Middle,7,10.2,NA,7.133333333,9.325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Zhang et al (2005)
Colombia,1965,Latin America and Caribbean,Middle,3.4,17.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrinos (1995)
Colombia,1973,Latin America and Caribbean,Middle,4.2,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,20.8,NA,NA,Psacharopoulos (1994)
Colombia,1974,Latin America and Caribbean,Middle,4.3,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrinos (1995)
Colombia,1975,Latin America and Caribbean,Middle,4.4,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Colombia,1975,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,13.4,Psacharopoulos (1985)
Colombia,1976,Latin America and Caribbean,Middle,7.2,11.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,14.42,NA,NA,Sanchez and Nunez (2003)
Colombia,1977,Latin America and Caribbean,Middle,7.3,11.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.88,13.61,NA,NA,Sanchez and Nunez (2003)
Colombia,1978,Latin America and Caribbean,Middle,7.4,10.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.28,13.33,NA,NA,Sanchez and Nunez (2003)
Colombia,1978,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,12.9,Psacharopoulos (1985)
Colombia,1979,Latin America and Caribbean,Middle,7.6,9.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,12.34,NA,NA,Sanchez and Nunez (2003)
Colombia,1980,Latin America and Caribbean,Middle,7.6,9.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,11.74,NA,NA,Sanchez and Nunez (2003)
Colombia,1981,Latin America and Caribbean,Middle,8,8.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98,10.91,NA,NA,Sanchez and Nunez (2003)
Colombia,1982,Latin America and Caribbean,Middle,8,9.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.45,10.89,NA,NA,Sanchez and Nunez (2003)
Colombia,1983,Latin America and Caribbean,Middle,8,9.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.53,11.17,NA,NA,Sanchez and Nunez (2003)
Colombia,1984,Latin America and Caribbean,Middle,8.2,9.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.28,11.56,NA,NA,Sanchez and Nunez (2003)
Colombia,1984,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,9.5,"Psacharopoulos, Arriagada and Velez (1992)"
Colombia,1985,Latin America and Caribbean,Middle,8.5,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.39,11.15,NA,NA,Sanchez and Nunez (2003)
Colombia,1986,Latin America and Caribbean,Middle,8.6,8.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93,11.06,NA,NA,Sanchez and Nunez (2003)
Colombia,1987,Latin America and Caribbean,Middle,8.6,8.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,11,NA,NA,Sanchez and Nunez (2003)
Colombia,1988,Latin America and Caribbean,Middle,8.9,8.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,10.87,NA,NA,Sanchez and Nunez (2003)
Colombia,1988,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11.3,Psacharopoulos and Velez (1992)
Colombia,1989,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,27.7,14.7,21.7,20,11.4,14,NA,NA,13.7,11.9,Psacharopoulos (1994)
Colombia,1989,Latin America and Caribbean,Middle,9,8.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,10.93,NA,NA,Sanchez and Nunez (2003)
Colombia,1990,Latin America and Caribbean,Middle,9.1,9.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,10.92,NA,NA,Sanchez and Nunez (2003)
Colombia,1991,Latin America and Caribbean,Middle,9.2,9.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.57,10.87,NA,NA,Sanchez and Nunez (2003)
Colombia,1992,Latin America and Caribbean,Middle,9.2,9.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.91,11.11,NA,NA,Sanchez and Nunez (2003)
Colombia,1993,Latin America and Caribbean,Middle,9.2,9.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,10.79,NA,NA,Sanchez and Nunez (2003)
Colombia,1994,Latin America and Caribbean,Middle,9.4,9.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.67,10.93,NA,NA,Sanchez and Nunez (2003)
Colombia,1995,Latin America and Caribbean,Middle,9.3,9.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,10.99,NA,NA,Sanchez and Nunez (2003)
Colombia,1996,Latin America and Caribbean,Middle,9.5,9.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.68,11.31,NA,NA,Sanchez and Nunez (2003)
Colombia,1997,Latin America and Caribbean,Middle,9.7,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.08,12.26,NA,NA,Sanchez and Nunez (2003)
Colombia,1998,Latin America and Caribbean,Middle,9.5,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.02,12.75,NA,NA,Sanchez and Nunez (2003)
Colombia,1999,Latin America and Caribbean,Middle,9.6,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,11.89,NA,NA,Tenjo et al. (2015)
Colombia,2000,Latin America and Caribbean,Middle,9.8,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,12.4,NA,NA,Tenjo et al. (2015)
Colombia,2001,Latin America and Caribbean,Middle,9.9,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.9,13,NA,NA,Tenjo et al. (2015)
Colombia,2002,Latin America and Caribbean,Middle,10.2,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,12.9,NA,NA,Tenjo et al. (2015)
Colombia,2003,Latin America and Caribbean,Middle,10.2,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.9,12.8,NA,NA,Tenjo et al. (2015)
Colombia,2004,Latin America and Caribbean,Middle,10.3,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,12.5,NA,NA,Tenjo et al. (2015)
Colombia,2005,Latin America and Caribbean,Middle,10.5,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,12.4,NA,NA,Tenjo et al. (2015)
Colombia,2007,Latin America and Caribbean,Middle,10.7,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,12.9,NA,NA,Tenjo et al. (2015)
Colombia,2008,Latin America and Caribbean,Middle,11.1,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,12.3,NA,NA,Tenjo et al. (2015)
Colombia,2009,Latin America and Caribbean,Middle,10.9,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.1,12.5,NA,NA,Tenjo et al. (2015)
Colombia,2010,Latin America and Caribbean,Middle,11.1,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,12.6,NA,NA,Tenjo et al. (2015)
Colombia,2011,Latin America and Caribbean,Middle,11.3,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,12.7,NA,NA,Tenjo et al. (2015)
Colombia,2012,Latin America and Caribbean,Middle,11.4,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,11.89,NA,NA,Tenjo et al. (2015)
Colombia,2013,Latin America and Caribbean,Middle,11.6,11.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,11.7,NA,NA,Tenjo et al. (2015)
Colombia,2014,Latin America and Caribbean,Middle,11.7,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,12.2,NA,NA,Tenjo et al. (2015)
Costa Rica,1974,Latin America and Caribbean,Middle,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,14.7,NA,NA,Psacharopoulos (1994)
Costa Rica,1980,Latin America and Caribbean,Middle,6.1,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
Costa Rica,1982,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,8.1,Gindling (1991)
Costa Rica,1983,Latin America and Caribbean,Middle,6.4,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
Costa Rica,1985,Latin America and Caribbean,Middle,6.7,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
Costa Rica,1986,Latin America and Caribbean,Middle,6.8,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,van der Gaag and Vijverberg (1989)
Costa Rica,1988,Latin America and Caribbean,Middle,6.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
Costa Rica,1989,Latin America and Caribbean,Middle,6.9,10.9,NA,NA,NA,12.2,17.6,12.9,11.2,14.4,9,10.5,13.5,9.3,8.5,Psacharopoulos (1994)
Costa Rica,1991,Latin America and Caribbean,Middle,7.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
Costa Rica,1992,Latin America and Caribbean,Middle,8.1,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banerjee and Duflo (2005)
Cote d'Ivoire,1984,Sub-Saharan Africa,Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8,11.2,Komenan (1987)
Cote d'Ivoire,1984,Sub-Saharan Africa,Middle,2.4,NA,NA,NA,NA,25.7,30.7,25.1,NA,NA,NA,11.1,22.6,NA,NA,Psacharopoulos (1994)
Cote d'Ivoire,1985,Sub-Saharan Africa,Middle,2.4,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Cote d'Ivoire,1986,Sub-Saharan Africa,Middle,6.9,20.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Cote d'Ivoire,1987,Sub-Saharan Africa,Middle,2.5,13.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.6,12.1,NA,NA,Psacharopoulos and Patrinos (2004); Banerjee and Duflo (2005)
Cote d'Ivoire,1987,Sub-Saharan Africa,Middle,2.96425,6.8,26.3,3.2,13.7,NA,NA,NA,NA,NA,NA,5.7,10.1,NA,NA,"Peet, Fink and Fawzi (2015)"
Cote d'Ivoire,1987,Sub-Saharan Africa,Middle,NA,NA,15,22,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Schultz (2004)
Croatia,1996,East Asia and Pacific,High,9.1,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,5.099,NA,NA,Vujcic and Sosic (2009); Sosic (2013)
Croatia,2001,East Asia and Pacific,High,8.3,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sosic (2013)
Croatia,2004,East Asia and Pacific,High,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,7.8,NA,NA,Vujcic and Sosic (2009)
Curacao,2001,Latin America and Caribbean,High,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,de Bruijn (2010)
Cyprus,1975,Europe and Central Asia,High,6.7,12.5,NA,NA,NA,NA,11.6,8.6,NA,10.5,9.7,NA,NA,NA,NA,Psacharopoulos (1981)
Cyprus,1979,Europe and Central Asia,High,NA,NA,NA,NA,NA,15.4,7,5.6,7.7,6.8,7.6,NA,NA,NA,NA,Psacharopoulos (1994)
Cyprus,1984,Europe and Central Asia,High,9.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,12.7,NA,NA,Psacharopoulos (1994)
Cyprus,1994,Europe and Central Asia,High,9.6,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banerjee and Duflo (2005)
Czech Republic,1984,Advanced Economies,High,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Newell and Reilly (1999)
Czech Republic,1984,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,Chase (1998)
Czech Republic,1988,Advanced Economies,High,10.7,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,5.099,NA,NA,Flanagan (1998)
Czech Republic,1989,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA,"Munich, Svejnar and Terrell (2005)"
Czech Republic,1992,Advanced Economies,High,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Newell and Reilly (1999)
Czech Republic,1992,Advanced Economies,High,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.1,8,NA,NA,Vecernik (2001)
Czech Republic,1993,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,NA,NA,NA,Chase (1998)
Czech Republic,1994,Advanced Economies,High,11.8,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Czech Republic,1995,Advanced Economies,High,12,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Czech Republic,1995,Advanced Economies,High,11.7424,NA,NA,NA,10.725,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,"Filer, Jurajda, Planovsky (1999)"
Czech Republic,1995,Advanced Economies,High,NA,NA,NA,NA,11.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Filer, Jurajda, Planovksy (1999)"
Czech Republic,1996,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,"Munich, Svejnar and Terrell (2005)"
Czech Republic,1996,Advanced Economies,High,12.2,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,9.4,NA,NA,Vecernik (2001)
Czech Republic,1996,Advanced Economies,High,11.7424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,NA,NA,NA,"Filer, Jurajda, Planovsky (1999)"
Czech Republic,1997,Advanced Economies,High,12.3,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Czech Republic,1997,Advanced Economies,High,11.7424,NA,NA,NA,11.05,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,"Filer, Jurajda, Planovsky (1999)"
Czech Republic,1999,Advanced Economies,High,12.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Czech Republic,2001,Advanced Economies,High,12.6,8.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Czech Republic,2002,Advanced Economies,High,12.7,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Flabbi, Paternostro and Tiongson (2007)"
Czech Republic,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,22.25,18.95,NA,9.5,15.65,NA,NA,NA,NA,OECD (2013)
Czech Republic,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,14.2,19.9,NA,22.6,15.25,NA,NA,NA,NA,OECD (2015)
Denmark,1964,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,7.8,NA,NA,NA,NA,Psacharopoulos (1994)
Denmark,1980,Advanced Economies,High,8.1,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Martins and Pereira (2004)
Denmark,1984,Advanced Economies,High,8.7,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Christensen and Westergard-Nielsen (1999)
Denmark,1990,Advanced Economies,High,9.4,4.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.08,3.42,NA,NA,Christensen and Westergard-Nielsen (1999)
Denmark,1995,Advanced Economies,High,10,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,4.9,NA,NA,"Harmon, Oosterbeek and Walker (2003); Martins and Pereira (2004)"
Denmark,1997,Advanced Economies,High,9.6651,12.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Polachek (2008)
Denmark,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,10.85,8.5,NA,6.5,2.85,NA,NA,NA,NA,OECD (2013)
Denmark,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,14.35,7.9,NA,8.65,3.85,NA,NA,NA,NA,OECD (2015)
Djibouti,1996,Middle East and North Africa,Middle,2.9,11.6,10,10.8,8.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anos-Casero and Seshan (2006)
Dominica,1999,Latin America and Caribbean,Middle,NA,NA,15.1,10.98,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reilly and Bellony (2009)
Dominican Republic,1989,Latin America and Caribbean,Middle,6,9.4,NA,NA,NA,85.1,15.1,19.4,NA,NA,NA,7.8,12,NA,NA,Psacharopoulos (1994)
Dominican Republic,1990,Latin America and Caribbean,Middle,6,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Dominican Republic,1995,Latin America and Caribbean,Middle,6.3,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Dominican Republic,2003,Latin America and Caribbean,Middle,NA,NA,NA,7,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Bank (2005)
Ecuador,1985,Latin America and Caribbean,Middle,6.6,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Ecuador,1987,Latin America and Caribbean,Middle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,7.4,Gomez-Castellano and Psacharopoulos (1990)
Ecuador,1987,Latin America and Caribbean,Middle,9.6,11.8,NA,NA,NA,17.1,17.2,12.7,14.7,12.7,9.9,9.8,11.5,11.3,7.1,Psacharopoulos (1994)
Ecuador,1995,Latin America and Caribbean,Middle,7.1,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Ecuador,2002,Latin America and Caribbean,Middle,8.300666667,6.5,6.6,6.3,6.7,NA,NA,NA,NA,NA,NA,5.9,7.6,NA,NA,"Peet, Fink and Fawzi (2015)"
Egypt,1997,Middle East and North Africa,Middle,5.9,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos and Patrinos (2004)
Egypt,2001,Middle East and North Africa,Middle,5.2,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arbak (2012)
Egypt,2006,Middle East and North Africa,Middle,11.1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salehi, Tunali, Assaad (2009)"
Egypt,2011,Middle East and North Africa,Middle,8.8,3.4,2.1,3,9.2,NA,NA,NA,NA,NA,NA,2.9,4.8,NA,NA,Rizk (2016)
Egypt,2006,Middle East and North Africa,Middle,NA,NA,0,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Barouni and Broecke (2014)
Egypt,1988,Middle East and North Africa,Middle,5.8,5.46,2.45,8.95,12.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Wahba (2000)
El Salvador,1985,Latin America and Caribbean,Middle,4.3,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
El Salvador,1988,Latin America and Caribbean,Middle,4.5,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
El Salvador,1990,Latin America and Caribbean,Middle,4.7,7.6,NA,NA,NA,18.9,14.5,9.5,16.4,13.3,8,9.6,9.8,9.4,6.2,Psacharopoulos (1994); Funkhouser (1996)
El Salvador,1992,Latin America and Caribbean,Middle,4.7,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Funkhouser (1996)
Eritrea,2002,Sub-Saharan Africa,Low,11,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kifle (2007)
Estonia,1989,Advanced Economies,High,9.2,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kroncke and Smith (1999)
Estonia,1994,Advanced Economies,High,10.4,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kroncke and Smith (1999)
Estonia,1995,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,14,2.2,10.3,NA,NA,NA,NA,Psacharopoulos and Patrinos (2004)
Estonia,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,21.4,20.25,NA,1.05,9.1,NA,NA,NA,NA,OECD (2013)
Estonia,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,21.85,17.05,NA,6.65,5.55,NA,NA,NA,NA,OECD (2015)
Estonia,2000,Advanced Economies,High,NA,NA,NA,1.575,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hazans (2003)
Ethiopia,1972,Sub-Saharan Africa,Low,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Ethiopia,1996,Sub-Saharan Africa,Low,NA,NA,NA,NA,NA,24.7,24.2,26.6,14.9,14.4,11.9,NA,NA,NA,NA,Psacharopoulos and Patrinos (2004)
Ethiopia,1997,Sub-Saharan Africa,Low,6,3.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Banerjee and Duflo (2005)
Ethiopia,2011,Sub-Saharan Africa,Low,2.1,12.5,17.3,12.9,12.7,NA,NA,NA,NA,NA,NA,13,10.7,NA,NA,"Peet, Fink and Fawzi (2015)"
Finland,1980,Advanced Economies,High,7.6,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Asplund (1999)
Finland,1985,Advanced Economies,High,7.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Finland,1987,Advanced Economies,High,7.4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,6.4,NA,NA,Asplund (1999)
Finland,1989,Advanced Economies,High,7.4,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.8,NA,NA,Asplund (1999)
Finland,1991,Advanced Economies,High,7.5,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,8.699,NA,NA,Asplund (1999)
Finland,1993,Advanced Economies,High,7.9,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,8.3,NA,NA,Asplund (1999)
Finland,1995,Advanced Economies,High,9.1,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Finland,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,7.8,10.35,NA,6.55,6.75,NA,NA,NA,NA,OECD (2013)
Finland,2011,Advanced Economies,High,NA,NA,NA,NA,NA,NA,6.1,8.35,NA,20.6,6.05,NA,NA,NA,NA,OECD (2015)
France,1962,Advanced Economies,High,NA,NA,NA,NA,NA,NA,11.5,9.3,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1985)
